DATE: 16/11/2022,  TIME: 0:17:50, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:49, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:52, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:55, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:17:58, VMC:13.76%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:1, VMC:8.58%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:4, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:6, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:9, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:12, VMC:15.48%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:15, VMC:8.83%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:18, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:21, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:24, VMC:12.90%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:26, VMC:16.45%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:29, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:32, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:35, VMC:10.44%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:38, VMC:13.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:41, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:44, VMC:4.42%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:46, VMC:13.51%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:49, VMC:4.04%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:52, VMC:0.00%, HUMIDITY: nan%,  TEMP: nan°C
DATE: 16/11/2022,  TIME: 0:18:55, VMC:12.77%, HUMIDITY: nan%,  TEMP: nan°C
