DATE: 19/11/2022,  TIME: 0:0:0, VMC:21.82%, HUMIDITY: 82.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:3, VMC:21.82%, HUMIDITY: 82.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:6, VMC:22.73%, HUMIDITY: 82.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:9, VMC:21.82%, HUMIDITY: 82.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:12, VMC:21.67%, HUMIDITY: 82.80%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:0:15, VMC:21.82%, HUMIDITY: 82.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:17, VMC:21.82%, HUMIDITY: 82.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:20, VMC:21.82%, HUMIDITY: 82.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:23, VMC:22.66%, HUMIDITY: 82.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:26, VMC:22.73%, HUMIDITY: 82.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:29, VMC:22.73%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:32, VMC:22.66%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:35, VMC:22.73%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:37, VMC:21.82%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:0:40, VMC:22.73%, HUMIDITY: 81.90%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:0:43, VMC:22.73%, HUMIDITY: 81.70%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:0:46, VMC:21.67%, HUMIDITY: 81.80%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:0:49, VMC:21.75%, HUMIDITY: 81.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:52, VMC:22.73%, HUMIDITY: 81.60%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:0:54, VMC:21.75%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:0:57, VMC:22.73%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:1:0, VMC:22.66%, HUMIDITY: 82.00%,  TEMP: 16.20°C
DATE: 19/11/2022,  TIME: 0:1:3, VMC:21.37%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:6, VMC:21.75%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:9, VMC:21.67%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:11, VMC:21.67%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:14, VMC:21.67%, HUMIDITY: 82.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:17, VMC:21.52%, HUMIDITY: 82.10%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:1:20, VMC:21.67%, HUMIDITY: 82.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:1:23, VMC:21.59%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:26, VMC:21.59%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:28, VMC:21.59%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:31, VMC:21.67%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:34, VMC:22.58%, HUMIDITY: 82.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:37, VMC:21.59%, HUMIDITY: 82.50%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:1:40, VMC:21.67%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:43, VMC:21.59%, HUMIDITY: 82.50%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:1:45, VMC:21.59%, HUMIDITY: 82.50%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:48, VMC:21.59%, HUMIDITY: 82.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:51, VMC:21.59%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:54, VMC:22.58%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:1:57, VMC:21.44%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:0, VMC:22.51%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:2, VMC:21.59%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:5, VMC:21.59%, HUMIDITY: 81.20%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:8, VMC:21.59%, HUMIDITY: 80.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:11, VMC:21.59%, HUMIDITY: 81.00%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:14, VMC:21.59%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:17, VMC:21.44%, HUMIDITY: 81.20%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:19, VMC:21.59%, HUMIDITY: 81.30%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:22, VMC:21.52%, HUMIDITY: 81.60%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:25, VMC:21.44%, HUMIDITY: 81.70%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:28, VMC:22.51%, HUMIDITY: 81.80%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:31, VMC:21.44%, HUMIDITY: 81.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:34, VMC:22.51%, HUMIDITY: 81.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:36, VMC:21.44%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:39, VMC:21.44%, HUMIDITY: 81.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:42, VMC:22.51%, HUMIDITY: 81.60%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:45, VMC:21.44%, HUMIDITY: 81.80%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:48, VMC:21.44%, HUMIDITY: 82.20%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:51, VMC:21.67%, HUMIDITY: 82.10%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:2:54, VMC:21.67%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:56, VMC:22.51%, HUMIDITY: 82.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:2:59, VMC:21.52%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:2, VMC:22.51%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:5, VMC:22.51%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:8, VMC:22.51%, HUMIDITY: 81.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:11, VMC:21.52%, HUMIDITY: 82.00%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:13, VMC:22.66%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:16, VMC:22.66%, HUMIDITY: 81.70%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:19, VMC:21.67%, HUMIDITY: 81.40%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:22, VMC:21.67%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:25, VMC:22.51%, HUMIDITY: 80.90%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:28, VMC:21.44%, HUMIDITY: 81.10%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:30, VMC:21.44%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:33, VMC:22.43%, HUMIDITY: 81.30%,  TEMP: 16.10°C
DATE: 19/11/2022,  TIME: 0:3:36, VMC:21.44%, HUMIDITY: 80.90%,  TEMP: 16.00°C
DATE: 19/11/2022,  TIME: 0:3:39, VMC:22.35%, HUMIDITY: 81.10%,  TEMP: 16.10°C
