"id","date","time","vmc","un_vmc","temperature","humidity"
1,"16/11/2022","17:2:25","29.12","2.32","24.30
","58.90"
2,"16/11/2022","17:2:25","29.12","2.32","24.30
","58.90"
3,"16/11/2022","17:2:28","29.30","2.32","24.30
","58.60"
4,"16/11/2022","17:2:28","29.30","2.32","24.30
","58.60"
5,"16/11/2022","17:2:31","29.26","2.32","24.40
","58.80"
6,"16/11/2022","17:2:31","29.26","2.32","24.40
","58.80"
7,"16/11/2022","17:2:34","29.03","2.33","24.30
","58.80"
8,"16/11/2022","17:2:34","29.03","2.33","24.30
","58.80"
9,"16/11/2022","17:2:37","29.20","2.32","24.30
","58.90"
10,"16/11/2022","17:2:37","29.20","2.32","24.30
","58.90"
11,"16/11/2022","17:2:39","29.24","2.32","24.30
","58.60"
12,"16/11/2022","17:2:42","29.01","2.33","24.20
","58.60"
13,"16/11/2022","17:2:42","29.01","2.33","24.20
","58.60"
14,"16/11/2022","17:2:45","29.07","2.33","24.30
","58.50"
15,"16/11/2022","17:2:45","29.07","2.33","24.30
","58.50"
16,"16/11/2022","17:2:48","29.30","2.32","24.30
","58.70"
17,"16/11/2022","17:2:48","29.30","2.32","24.30
","58.70"
18,"16/11/2022","17:2:51","29.11","2.33","24.30
","58.50"
19,"16/11/2022","17:2:51","29.11","2.33","24.30
","58.50"
20,"16/11/2022","17:2:54","29.33","2.32","24.30
","58.70"
21,"16/11/2022","17:2:54","29.33","2.32","24.30
","58.70"
22,"16/11/2022","17:2:56","29.30","2.32","24.30
","58.30"
23,"16/11/2022","17:2:59","29.07","2.33","24.30
","58.80"
24,"16/11/2022","17:2:59","29.07","2.33","24.30
","58.80"
25,"16/11/2022","17:3:2","29.20","2.32","24.30
","58.80"
26,"16/11/2022","17:3:2","29.20","2.32","24.30
","58.80"
27,"16/11/2022","17:3:5","29.28","2.32","24.20
","58.50"
28,"16/11/2022","17:3:5","29.28","2.32","24.20
","58.50"
29,"16/11/2022","17:3:8","29.26","2.32","24.20
","58.70"
30,"16/11/2022","17:3:8","29.26","2.32","24.20
","58.70"
31,"16/11/2022","17:3:11","29.33","2.32","24.20
","59.10"
32,"16/11/2022","17:3:11","29.33","2.32","24.20
","59.10"
33,"16/11/2022","17:3:13","29.14","2.32","24.30
","58.90"
34,"16/11/2022","17:3:16","29.14","2.32","24.30
","58.70"
35,"16/11/2022","17:3:16","29.14","2.32","24.30
","58.70"
36,"16/11/2022","17:3:19","29.33","2.32","24.20
","58.90"
37,"16/11/2022","17:3:19","29.33","2.32","24.20
","58.90"
38,"16/11/2022","17:3:22","29.07","2.33","24.30
","58.80"
39,"16/11/2022","17:50:7","27.56","2.38","23.70
","64.20"
40,"16/11/2022","17:50:7","27.56","2.38","23.70
","64.20"
41,"16/11/2022","17:50:10","27.54","2.38","23.60
","64.30"
42,"16/11/2022","17:50:10","27.54","2.38","23.60
","64.30"
43,"16/11/2022","17:50:13","27.54","2.38","23.70
","64.40"
44,"16/11/2022","17:50:13","27.54","2.38","23.70
","64.40"
45,"16/11/2022","17:50:16","27.77","2.38","23.60
","64.40"
46,"16/11/2022","17:50:16","27.77","2.38","23.60
","64.40"
47,"16/11/2022","17:50:19","27.75","2.38","23.70
","64.70"
48,"16/11/2022","17:50:19","27.75","2.38","23.70
","64.70"
49,"16/11/2022","17:50:22","27.54","2.38","23.60
","64.80"
50,"16/11/2022","17:50:24","27.54","2.38","23.60
","65.70"
51,"16/11/2022","17:50:24","27.54","2.38","23.60
","65.70"
52,"16/11/2022","17:50:27","27.54","2.38","23.60
","64.60"
53,"16/11/2022","17:50:27","27.54","2.38","23.60
","64.60"
54,"16/11/2022","17:50:30","27.52","2.38","23.60
","65.90"
55,"16/11/2022","17:50:30","27.52","2.38","23.60
","65.90"
56,"16/11/2022","17:50:30","27.52","2.38","23.60
","65.90"
57,"16/11/2022","17:50:34","27.24","2.39","23.60
","64.50"
58,"16/11/2022","17:50:34","27.24","2.39","23.60
","64.50"
59,"16/11/2022","17:50:37","27.75","2.38","23.60
","65.70"
60,"16/11/2022","17:50:37","27.75","2.38","23.60
","65.70"
61,"16/11/2022","17:50:40","27.52","2.38","23.70
","64.60"
62,"16/11/2022","17:50:40","27.52","2.38","23.70
","64.60"
63,"16/11/2022","17:50:43","27.50","2.39","23.70
","64.50"
64,"16/11/2022","17:50:45","27.52","2.38","23.70
","64.40"
65,"16/11/2022","17:50:45","27.52","2.38","23.70
","64.40"
66,"16/11/2022","17:50:48","27.71","2.38","23.60
","64.70"
67,"16/11/2022","17:50:48","27.71","2.38","23.60
","64.70"
68,"16/11/2022","17:50:51","27.50","2.39","23.60
","64.70"
69,"16/11/2022","17:50:51","27.50","2.39","23.60
","64.70"
70,"16/11/2022","17:50:54","27.73","2.38","23.60
","66.00"
71,"16/11/2022","17:50:54","27.73","2.38","23.60
","66.00"
72,"16/11/2022","17:50:57","27.70","2.38","23.70
","64.30"
73,"16/11/2022","17:50:57","27.70","2.38","23.70
","64.30"
74,"16/11/2022","17:51:0","27.70","2.38","23.70
","64.20"
75,"16/11/2022","17:51:3","27.47","2.39","23.70
","64.30"
76,"16/11/2022","17:51:3","27.47","2.39","23.70
","64.30"
77,"16/11/2022","17:51:5","27.70","2.38","23.60
","65.30"
78,"16/11/2022","17:51:5","27.70","2.38","23.60
","65.30"
79,"16/11/2022","17:51:8","27.49","2.39","23.70
","64.20"
80,"16/11/2022","17:51:8","27.49","2.39","23.70
","64.20"
81,"16/11/2022","17:51:11","27.47","2.39","23.70
","64.30"
82,"16/11/2022","17:51:11","27.47","2.39","23.70
","64.30"
83,"16/11/2022","17:51:14","27.47","2.39","23.70
","63.90"
84,"16/11/2022","17:51:14","27.47","2.39","23.70
","63.90"
85,"16/11/2022","17:51:17","27.70","2.38","23.60
","64.00"
86,"16/11/2022","17:51:20","27.47","2.39","23.70
","64.00"
87,"16/11/2022","17:51:20","27.47","2.39","23.70
","64.00"
88,"16/11/2022","17:51:22","27.68","2.38","23.70
","64.10"
89,"16/11/2022","17:51:22","27.68","2.38","23.70
","64.10"
90,"16/11/2022","17:51:25","27.66","2.38","23.70
","63.90"
91,"16/11/2022","17:51:25","27.66","2.38","23.70
","63.90"
92,"16/11/2022","17:51:28","27.66","2.38","23.60
","65.10"
93,"16/11/2022","17:51:28","27.66","2.38","23.60
","65.10"
94,"16/11/2022","17:51:31","27.45","2.39","23.70
","63.70"
95,"16/11/2022","17:51:31","27.45","2.39","23.70
","63.70"
96,"16/11/2022","17:51:34","27.66","2.38","23.70
","64.00"
97,"16/11/2022","17:51:37","27.45","2.39","23.70
","64.50"
98,"16/11/2022","17:51:37","27.45","2.39","23.70
","64.50"
99,"16/11/2022","17:51:39","27.43","2.39","23.70
","64.00"
100,"16/11/2022","17:51:39","27.43","2.39","23.70
","64.00"
101,"16/11/2022","17:51:42","27.64","2.38","23.70
","64.40"
102,"16/11/2022","17:51:42","27.64","2.38","23.70
","64.40"
103,"16/11/2022","17:51:45","27.43","2.39","23.70
","64.20"
104,"16/11/2022","17:51:45","27.43","2.39","23.70
","64.20"
105,"16/11/2022","17:51:48","27.43","2.39","23.70
","63.60"
106,"16/11/2022","17:51:48","27.43","2.39","23.70
","63.60"
107,"16/11/2022","17:51:51","29.35","8.53","23.60
","63.80"
108,"16/11/2022","17:51:54","27.43","2.39","23.60
","63.60"
109,"16/11/2022","17:51:54","27.43","2.39","23.60
","63.60"
110,"16/11/2022","17:51:56","27.43","2.39","23.70
","63.50"
111,"16/11/2022","17:51:56","27.43","2.39","23.70
","63.50"
112,"16/11/2022","17:51:59","27.43","2.39","23.60
","63.80"
113,"16/11/2022","17:51:59","27.43","2.39","23.60
","63.80"
114,"16/11/2022","17:52:2","29.25","8.55","23.70
","63.90"
115,"16/11/2022","17:52:2","29.25","8.55","23.70
","63.90"
116,"16/11/2022","17:52:5","27.43","2.39","23.80
","64.30"
117,"16/11/2022","17:52:5","27.43","2.39","23.80
","64.30"
118,"16/11/2022","17:52:8","29.37","8.53","23.60
","64.10"
119,"16/11/2022","17:52:11","27.43","2.39","23.60
","64.40"
120,"16/11/2022","17:52:11","27.43","2.39","23.60
","64.40"
121,"16/11/2022","17:52:14","29.35","8.53","23.70
","64.50"
122,"16/11/2022","17:52:14","29.35","8.53","23.70
","64.50"
123,"16/11/2022","17:52:16","27.62","2.38","23.60
","63.90"
124,"16/11/2022","17:52:16","27.62","2.38","23.60
","63.90"
125,"16/11/2022","17:52:19","29.35","8.53","23.70
","63.90"
126,"16/11/2022","17:52:19","29.35","8.53","23.70
","63.90"
127,"16/11/2022","17:52:22","29.35","8.53","23.60
","64.10"
128,"16/11/2022","17:52:22","29.35","8.53","23.60
","64.10"
129,"16/11/2022","17:52:25","29.27","8.55","23.70
","63.50"
130,"16/11/2022","17:52:28","27.41","2.39","23.60
","63.80"
131,"16/11/2022","17:52:28","27.41","2.39","23.60
","63.80"
132,"16/11/2022","17:52:31","29.35","8.53","23.70
","63.50"
133,"16/11/2022","17:52:31","29.35","8.53","23.70
","63.50"
134,"16/11/2022","17:52:33","27.60","2.38","23.70
","63.50"
135,"16/11/2022","17:52:33","27.60","2.38","23.70
","63.50"
136,"16/11/2022","17:52:36","27.49","2.39","23.70
","64.20"
137,"16/11/2022","17:52:36","27.49","2.39","23.70
","64.20"
138,"16/11/2022","17:52:39","29.35","8.53","23.70
","64.10"
139,"16/11/2022","17:52:39","29.35","8.53","23.70
","64.10"
140,"16/11/2022","17:52:42","29.37","8.53","23.60
","64.20"
141,"16/11/2022","17:52:45","27.41","2.39","23.70
","63.70"
142,"16/11/2022","17:52:45","27.41","2.39","23.70
","63.70"
143,"16/11/2022","17:52:48","27.43","2.39","23.70
","64.60"
144,"16/11/2022","17:52:48","27.43","2.39","23.70
","64.60"
145,"16/11/2022","17:52:50","29.27","8.55","23.70
","64.30"
146,"16/11/2022","17:52:50","29.27","8.55","23.70
","64.30"
147,"16/11/2022","17:52:53","29.35","8.53","23.70
","64.50"
148,"16/11/2022","17:52:53","29.35","8.53","23.70
","64.50"
149,"16/11/2022","17:52:56","29.39","8.53","23.70
","64.50"
150,"16/11/2022","17:52:56","29.39","8.53","23.70
","64.50"
151,"16/11/2022","17:52:59","29.20","8.57","23.70
","64.70"
152,"16/11/2022","17:53:2","29.27","8.55","23.70
","64.80"
153,"16/11/2022","17:53:2","29.27","8.55","23.70
","64.80"
154,"16/11/2022","17:53:5","29.35","8.53","23.70
","64.80"
155,"16/11/2022","17:53:5","29.35","8.53","23.70
","64.80"
156,"16/11/2022","17:53:8","29.27","8.55","23.70
","65.00"
157,"16/11/2022","17:53:8","29.27","8.55","23.70
","65.00"
158,"16/11/2022","17:53:10","29.27","8.55","23.70
","64.50"
159,"16/11/2022","17:53:10","29.27","8.55","23.70
","64.50"
160,"16/11/2022","17:53:13","27.62","2.38","23.70
","64.70"
161,"16/11/2022","17:53:13","27.62","2.38","23.70
","64.70"
162,"16/11/2022","17:53:16","29.20","8.57","23.70
","64.40"
163,"16/11/2022","17:53:19","29.37","8.53","23.60
","64.70"
164,"16/11/2022","17:53:19","29.37","8.53","23.60
","64.70"
165,"16/11/2022","17:53:22","29.20","8.57","23.60
","64.50"
166,"16/11/2022","17:53:22","29.20","8.57","23.60
","64.50"
167,"16/11/2022","17:53:25","27.60","2.38","23.60
","64.60"
168,"16/11/2022","17:53:25","27.60","2.38","23.60
","64.60"
169,"16/11/2022","17:53:27","29.20","8.57","23.60
","65.20"
170,"16/11/2022","17:53:27","29.20","8.57","23.60
","65.20"
171,"16/11/2022","17:53:30","29.27","8.55","23.70
","63.70"
172,"16/11/2022","17:53:30","29.27","8.55","23.70
","63.70"
173,"16/11/2022","17:53:33","29.20","8.57","23.70
","64.00"
174,"16/11/2022","17:53:36","29.20","8.57","23.60
","64.10"
175,"16/11/2022","17:53:39","29.29","8.55","23.70
","64.60"
176,"16/11/2022","17:53:39","29.29","8.55","23.70
","64.60"
177,"16/11/2022","17:53:42","29.10","8.58","23.60
","64.50"
178,"16/11/2022","17:53:42","29.10","8.58","23.60
","64.50"
179,"16/11/2022","17:53:44","29.12","8.58","23.70
","64.30"
180,"16/11/2022","17:53:44","29.12","8.58","23.70
","64.30"
181,"16/11/2022","17:53:47","29.20","8.57","23.70
","64.40"
182,"16/11/2022","17:53:47","29.20","8.57","23.70
","64.40"
183,"16/11/2022","17:53:50","29.20","8.57","23.70
","64.30"
184,"16/11/2022","17:53:53","29.20","8.57","23.70
","64.70"
185,"16/11/2022","17:53:53","29.20","8.57","23.70
","64.70"
186,"16/11/2022","17:53:56","29.01","8.60","23.60
","64.90"
187,"16/11/2022","17:53:56","29.01","8.60","23.60
","64.90"
188,"16/11/2022","17:53:59","27.58","2.38","23.70
","65.00"
189,"16/11/2022","17:53:59","27.58","2.38","23.70
","65.00"
190,"16/11/2022","17:54:2","29.06","8.58","23.70
","64.80"
191,"16/11/2022","17:54:2","29.06","8.58","23.70
","64.80"
192,"16/11/2022","17:54:4","29.12","8.58","23.70
","65.50"
193,"16/11/2022","17:54:4","29.12","8.58","23.70
","65.50"
194,"16/11/2022","17:54:7","29.03","8.60","23.70
","65.70"
195,"16/11/2022","17:54:10","29.08","8.60","23.70
","66.00"
196,"16/11/2022","17:54:10","29.08","8.60","23.70
","66.00"
197,"16/11/2022","17:54:13","27.52","2.39","23.70
","65.70"
198,"16/11/2022","17:54:13","27.52","2.39","23.70
","65.70"
199,"16/11/2022","17:54:13","27.52","2.39","23.70
","65.70"
200,"16/11/2022","17:54:16","29.12","8.58","nan
","nan"
201,"16/11/2022","17:54:19","29.12","8.58","23.70
","65.80"
202,"16/11/2022","17:54:19","29.12","8.58","23.70
","65.80"
203,"16/11/2022","17:54:22","29.20","8.57","23.60
","66.40"
204,"16/11/2022","17:54:22","29.20","8.57","23.60
","66.40"
205,"16/11/2022","17:54:25","29.10","8.58","23.70
","65.20"
206,"16/11/2022","17:54:25","29.10","8.58","23.70
","65.20"
207,"16/11/2022","17:54:28","27.52","2.39","23.60
","67.10"
208,"16/11/2022","17:54:28","27.52","2.39","23.60
","67.10"
209,"16/11/2022","17:54:30","29.12","8.58","23.70
","66.00"
210,"16/11/2022","17:54:30","29.12","8.58","23.70
","66.00"
211,"16/11/2022","17:54:33","27.52","2.39","23.60
","65.90"
212,"16/11/2022","17:54:36","29.14","8.58","23.70
","66.20"
213,"16/11/2022","17:54:36","29.14","8.58","23.70
","66.20"
214,"16/11/2022","17:54:39","29.03","8.60","23.70
","66.40"
215,"16/11/2022","17:54:39","29.03","8.60","23.70
","66.40"
216,"16/11/2022","17:54:42","27.52","2.39","23.70
","66.00"
217,"16/11/2022","17:54:42","27.52","2.39","23.70
","66.00"
218,"16/11/2022","17:54:45","27.50","2.39","23.70
","66.00"
219,"16/11/2022","17:54:45","27.50","2.39","23.70
","66.00"
220,"16/11/2022","17:54:47","29.05","8.60","23.70
","65.80"
221,"16/11/2022","17:54:47","29.05","8.60","23.70
","65.80"
222,"16/11/2022","17:54:50","27.50","2.39","23.70
","65.70"
223,"16/11/2022","17:54:53","28.95","8.62","23.70
","65.70"
224,"16/11/2022","17:54:53","28.95","8.62","23.70
","65.70"
225,"16/11/2022","17:54:56","27.52","2.39","23.70
","65.70"
226,"16/11/2022","17:54:56","27.52","2.39","23.70
","65.70"
227,"16/11/2022","17:54:59","29.03","8.60","23.70
","66.20"
228,"16/11/2022","17:54:59","29.03","8.60","23.70
","66.20"
229,"16/11/2022","17:55:2","28.95","8.62","23.70
","65.60"
230,"16/11/2022","17:55:2","28.95","8.62","23.70
","65.60"
231,"16/11/2022","17:55:4","28.97","8.62","23.70
","65.80"
232,"16/11/2022","17:55:4","28.97","8.62","23.70
","65.80"
233,"16/11/2022","17:55:7","27.50","2.39","23.70
","65.30"
234,"16/11/2022","17:55:10","29.05","8.60","23.60
","66.40"
235,"16/11/2022","17:55:10","29.05","8.60","23.60
","66.40"
236,"16/11/2022","17:55:13","28.95","8.62","23.60
","65.20"
237,"16/11/2022","17:55:13","28.95","8.62","23.60
","65.20"
238,"16/11/2022","17:55:16","27.50","2.39","23.70
","65.20"
239,"16/11/2022","17:55:16","27.50","2.39","23.70
","65.20"
240,"16/11/2022","17:55:19","27.50","2.39","23.60
","64.90"
241,"16/11/2022","17:55:19","27.50","2.39","23.60
","64.90"
242,"16/11/2022","17:55:21","28.95","8.62","23.60
","65.00"
